type,dateTime,gameMode,player,pl_tag,pl_crowns,pl_deck,opponent,op_tag,op_crowns,op_deck
challenge,20221108T090106.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap,Jerry,#2PC0RYVY9,2,Barbarian Barrel;Graveyard;Monk;Phoenix;Poison;Royal Delivery;Tombstone;Zappies
friendly,20221108T085508.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,0,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap,CHI Pompeyo4,#YP9VPGUUG,1,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap
friendly,20221108T085142.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,0,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap,CHI Pompeyo4,#YP9VPGUUG,1,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap
friendly,20221108T084804.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,0,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap,CHI Pompeyo4,#YP9VPGUUG,1,Balloon;Fireball;Goblin Cage;Inferno Dragon;Miner;Monk;Phoenix;Zap
friendly,20221108T083955.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,2,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado,Anaban❤️Snipe,#Q029J2RU,1,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
friendly,20221108T083448.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,1,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado,Anaban❤️Sofia,#GYUQQCLV,3,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
friendly,20221108T083253.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,1,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado,Anaban❤️Sofia,#GYUQQCLV,3,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
friendly,20221108T080524.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,1,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado,CODE: ROCKSTAR,#PPRUPPCVY,0,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
friendly,20221108T074553.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,1,Bats;Electro Dragon;Miner;Phoenix;Poison;Royal Delivery;Tesla;Tornado,CODE: ROCKSTAR,#PPRUPPCVY,0,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
friendly,20221108T073902.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,0,Cannon;Dart Goblin;Fire Spirit;Goblin Barrel;Mighty Miner;Rocket;Skeletons;The Log,CODE: ROCKSTAR,#PPRUPPCVY,3,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
friendly,20221108T073533.000Z,Friendly,Sergio❤️Bisha,#P2U9G2J,0,Bandit;Barbarian Barrel;Electro Wizard;Fireball;Mega Knight;Mighty Miner;Mother Witch;Ram Rider,CODE: ROCKSTAR,#PPRUPPCVY,1,Balloon;Barbarian Barrel;Electro Dragon;Freeze;Lumberjack;Monk;Phoenix;Tornado
challenge,20221027T020258.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,2,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,princesa,#LQP9RVR8V,1,Bomber;Elite Barbarians;Prince;Princess;Rage;Skeleton Army;Wizard;Zap
challenge,20221027T015455.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,3,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,leo:),#YYURRL8YP,0,Barbarian Barrel;Barbarian Hut;Battle Healer;Electro Dragon;Elixir Golem;Monk;Phoenix;Tornado
challenge,20221027T015211.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,1,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,Meuchelmolder,#8299YCY90,3,Barbarian Barrel;Barbarian Hut;Battle Healer;Electro Dragon;Elixir Golem;Phoenix;Rage;Tornado
challenge,20221027T014841.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,3,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,aja.gaja,#9J90YGVYL,0,Archers;Bomber;Prince;Rocket;Royal Hogs;Skeleton Army;The Log;Zap
challenge,20221027T014600.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,0,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,シャア　アズナブル,#PPUV0LLVV,1,Elixir Collector;Goblin Gang;Ice Golem;Miner;Minion Horde;Monk;Three Musketeers;Zap
challenge,20221027T014251.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,0,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,Grit Sand,#22Q9QQ9QJ,1,Fireball;Fisherman;Goblin Gang;Phoenix;Royal Giant;Skeleton King;The Log;Zappies
challenge,20221027T003338.000Z,Challenge_AllCards_EventDeck,Sergio❤️Bisha,#P2U9G2J,3,Archer Queen;Barbarian Barrel;Graveyard;Ice Spirit;Knight;Phoenix;Poison;Spear Goblins,kinako,#QR0J0J9GQ,0,Barbarian Barrel;Graveyard;Mirror;Monk;Phoenix;Poison;Tombstone;Zappies
